video,video_views,likes,dislikes,category,published
Best Heavyweight Knockouts of All Time,"5,250,458","5,891",509,Sports,2007
Dog reacts to return of Nathan after two year Mormon mission,"6,040,429","5,972",194,Pets & Animals,2015
Orangutan loves baby bump,"5,989,058","4,282",282,Music,2016
Dog scared by fart,"5,938,416","3,883",129,Comedy,2015
НЕ ПОВЕЗЛО - UNLUCKY,"14,921,437","3,604","1,225",Comedy,2009
"Visitenkarten, Flyer oder Banner schon ab unter 10€.","4,929,481",3,2,People & Blogs,2017
David Beckham crazy pass (cross),"17,275,250","32,362",752,Sports,2008
LAVIE LOVE LIST | 2019,"10,188,590",9,0,Howto & Style,2019
Tra Tra Tra,"2,663,550",734,212,Comedy,2007
Girl In Car Flashes Her Bra & Then Crashes Into A Truck!,"9,884,005","7,891","2,334",People & Blogs,2009
Girl blown by a plane,"12,255,456","7,725",745,Travel & Events,2012
Barack Obama Hillary Clinton - Umbrella,"148,996,976","36,190","20,698",Comedy,2008
Nice Fight - Cops vs Drug Dealer,"17,166,129","12,980","3,713",Entertainment,2008
Uğur Volkan Uysal | Wix.com ile Kendi Sitenizi Kurun,"6,587,447",32,101,People & Blogs,2018
Olivia Rodrigo - drivers license (Official Video),"68,224,979","3,810,456","48,539",Music,2021
Jedna fotografija dnevno u najgoroj godini života / One photo a day in the worst year of my life,"61,892,792","32,649","4,045",People & Blogs,2013
"Grilling Tip, How to Make a Non Stick Surface Part 1","4,702,870",786,51,Howto & Style,2014
Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,"2,472,045","28,842","1,204",Sports,2017
Top 20. Soundtracks Of All Times!,"3,590,248","2,836","2,542",Music,2007
Kobe dunks over Shaq in practice (funny),"12,649,333","4,492","1,247",Sports,2006
CRASH-405,"2,714,140",376,"1,665",Comedy,2006
German Shepherd scared of Stuffed Toy Tiger. Very Funny! (ORIGINAL VIDEO & VERSION)),"5,352,751","6,997",171,People & Blogs,2015
Tenacious D - Explosivo,"2,754,518","10,186",204,Entertainment,2006
HSMFanNisa Exclusive:High School Musical 2 Song(s)With Lyric,"7,352,624","2,538",256,Music,2007
Fo fo fo fo fristajlo!,"2,894,700","6,108",152,Comedy,2007
LILHUDDY - America's Sweetheart (Official Music Video),"3,086,667","346,074","12,082",Music,2021
How NOT to Load a New Ford F-350 Truck on a Trailer,"3,415,700",942,303,People & Blogs,2015
baby playing in mother's womb !!!!!,"5,806,522","2,810",101,Entertainment,2010
Cats Welcoming Home Soldiers (parody video),"2,126,930","1,984",259,Comedy,2014
Coconut crab attacks bird,"2,691,332",785,225,People & Blogs,2017
Swimming,"25,671,563","2,240","2,419",People & Blogs,2007
How to fix a small dent,"23,778,413","5,399",419,Education,2010
Хоккей в фуре - вызов принят!,"1,556,347","2,726","1,433",Sports,2017
44 Magnum Las Vegas,"2,345,415","7,883",259,People & Blogs,2010
Miss Carolina - se le salio!,"37,787,055","3,476","10,810",Comedy,2009
Two guys cause trouble on Ryanair,"2,451,202",697,441,People & Blogs,2016
Hot Bikini Waxing Girls!,"1,888,388",398,106,People & Blogs,2006
Bucket Bear better quality,"4,399,693","2,977",117,Pets & Animals,2014
c`e solo l inter... a farci ridere,"2,136,208","3,379","1,966",Sports,2007
Remember the 80's ?,"3,293,594","1,481",89,Comedy,2006
Το ποιο απίστευτο βίντεο που έχετε δει ποτέ!!! The most INCREDIBLE VIDEO EVER !!! WWW.BYTHEWAY.GR,"3,360,262","2,084","3,489",Sports,2008
Funny Foul Shot Blooper,"2,540,079","3,507",93,Sports,2011
video 1450041175 mp4,"2,368,587",732,90,People & Blogs,2015
High School Musical 3 - Can I Have This Dance *OFFICIAL MUSIC VIDEO w/lyrics (HQ),"25,576,382","23,880","1,691",Music,2008
Zebra Drowning a Lion,"30,475,518","19,766","2,398",Autos & Vehicles,2009
Garth Brooks - The Dance - Kick Cancer's ASS!,"3,751,723","2,513",90,Entertainment,2014
Wyzywająca Doda,"2,195,081",712,507,Entertainment,2006
Кредит наличными 15 sec,"21,492,932",16,96,News & Politics,2017
Smartest Police Dog Ever!,"3,818,260","2,410",29,People & Blogs,2009
Grandma falls into crib,"5,198,725","3,233",640,People & Blogs,2016
"""Drake"" on the Tube...","2,683,856","7,414",457,Comedy,2012
Tundra vs Silverado,"2,600,480",738,672,Autos & Vehicles,2007
Capitoline venus,"2,181,160",63,119,Travel & Events,2007
Cat and Dog (a love story),"2,194,640","1,626",276,Pets & Animals,2007
Blümchen (Blossom) - Herz an Herz,"2,257,460","3,800",199,Music,2006
"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)","1,677,733","211,037","7,579",Music,2021
Silent Monks Singing Halleluia,"21,061,223","50,817","1,336",Comedy,2008
ABBA Dancing Queen 1976,"20,688,870","22,826",851,Music,2006
Horse attacks alligator! Payne's prairie 4/12/17,"2,173,396","2,235",200,People & Blogs,2017
two fake umps.MOV,"1,338,441","3,712",135,Sports,2010
Safe Sleep for Baby,"3,400,850",181,156,Education,2011
WTC in a perfect world,"3,476,635","5,982","2,129",Film & Animation,2007
The megalodon-World's Biggest Shark,"13,893,527","8,744","5,157",Entertainment,2007
Groom forgets rings prank,"2,760,303","1,730",212,Entertainment,2016
Barbie-Girl,"22,225,399","10,788","3,217",Film & Animation,2006
ProtoType gameplay,"3,128,367","4,724",605,Entertainment,2008
Weird People and Animals,"11,474,129","2,458","4,833",Comedy,2008
Lola and Annie - Road Trip Karaoke,"7,095,244","4,677",200,Comedy,2017
DIESEL LOUIE,"1,605,558","1,035",52,Autos & Vehicles,2007
4 year old little girl feeding and controlling six #pitbulls / Girl Controls Future Dog Trainer,"6,691,213","3,008",342,People & Blogs,2015
Big Fish - trailer,"2,126,010","3,046",119,Entertainment,2006
over 500 strokes per minute,"2,285,448","1,104","5,442",Howto & Style,2007
Titanic - The Drawing Scene,"1,765,315",444,"1,079",Comedy,2006
"morodo, la yerba del rey","5,337,381","5,237",263,News & Politics,2007
Mulatto - No Hook (Official Video),"2,138,136","123,687","1,793",Music,2020
Devils Fingers or Octopus Fungus Clathrus archeri December 2014,"6,705,396",791,42,Autos & Vehicles,2014
"Gerald Daugherty Campaign: ""Please Re-Elect Gerald...Please!""","3,923,892","6,783",103,People & Blogs,2016
Smart German Shepherd:  Twitch Letting Sophie Out of Her Kennel,"9,071,139","6,457",432,Pets & Animals,2012
Morray - Trenches (Official Music Video),"1,352,140","58,129","1,051",Music,2021
Beéle - Si Te Interesa (Official Video),"1,450,005","94,228","1,067",Music,2021
supercars accidents !!!!!!!,"2,021,817",694,230,Autos & Vehicles,2007
Bieżnie inSPORTline - Na każdą pogodę!,"16,093,134",30,27,People & Blogs,2017
Aitch - Safe To Say,"1,330,363","84,759","1,749",Music,2020
ShemarooMe - BOLLYWOOD | GUJARATI | DEVOTION | PUNJABI | KIDS,"1,226,138",1,0,People & Blogs,2019
If you watch this 100 times you'll still laugh !,"45,597,951","97,649","27,835",Comedy,2008
"Korea, the best dancer ever!!!","24,082,631","36,946","13,769",Entertainment,2007
End Of Watch Trailer,"3,212,936","1,083",76,Film & Animation,2012
Rally driver's killer reflexes,"7,261,710","15,509",685,Sports,2011
Crazy Turtle,"12,093,713","6,766","1,337",Entertainment,2007
"Top Ten most Awesome Boat , Crashes, Collisions, Sinkings and Amazings Sights at Sea","3,062,448","1,642",273,Education,2009
The Rockettes 'Be My Baby' video,"6,636,077","1,284",41,Music,2013
Vegamálun GÍH,"3,012,775","1,632",162,People & Blogs,2017
Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild,"3,510,345","32,449",248,Film & Animation,2017
Doug Fernandez gives up,"2,002,491","19,461",185,People & Blogs,2017
Мир не без добрых людей    Забыв про свадьбу,"2,068,532",839,45,Music,2017
Buffet,"2,751,775","5,401",342,Comedy,2016
Customer Fail!,"4,525,935","8,052","2,288",People & Blogs,2016
Blue Angels Fly By,"7,980,199","11,170",417,Comedy,2015
Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG,"2,124,429","19,110","1,256",Music,2019
video picante del jaripeo,"4,148,013",442,846,Entertainment,2009
University of Arizona v.s. UCLA Streaker Dressed as Referee 2011 ENTIRE VIDEO (ORIGINAL),"2,601,392","3,467",580,Entertainment,2011
Breast Flexing,"4,119,405","1,819",215,Entertainment,2007
DOBLAJES DX EL CHAVO CHAPULIN COLORADO,"1,886,651",421,"1,040",Comedy,2007
How to Change a Nipple Piercing,"11,658,971",596,"7,432",Howto & Style,2011
"Crocodile attacks couple  in Zimbabwe , Kariba 2016 Insta @stueysink88","4,422,005",879,338,Pets & Animals,2016
Ready? Ready.,"1,486,824","4,805",143,People & Blogs,2016
Privacy in a brand-named hotel,"22,529,178","6,601","2,414",People & Blogs,2014
Reckless Driver Videos Himself Speeding On Facebook Live Before Accident,"3,653,602","3,162","4,296",Travel & Events,2016
"Empleados de BANAMEX dándose de arrimones en Angelópolis, Puebla","3,649,044",192,"4,753",News & Politics,2010
誰でも簡単、無料で公開！ホームページ作成ならWix.com,"22,504,802",165,88,Howto & Style,2016
Old man is having fun under metallica,"2,566,313","25,274",399,Entertainment,2017
Experimento Asiento Incómodo,"2,516,672","1,285",868,People & Blogs,2017
Rollercoaster bezichtiging in Ermelo,"4,851,071","3,934",141,People & Blogs,2014
Сидит себе такой стареющий Серёжа... (Тарута мультик),"1,020,604","1,123",9,People & Blogs,2017
Daddy yankee Llamada De Emergencia oficcial video,"3,393,600","1,210",126,Music,2008
American Terrorist Christopher Cantwell balls his eyes out,"1,283,550","1,966","5,740",People & Blogs,2017
Chinese boy breaks elevator with his pee pee,"2,171,435",990,102,People & Blogs,2018
Superman Disguise,"1,388,327","6,100",97,People & Blogs,2010
Touch at Your Own Risk,"2,637,024","3,931",222,People & Blogs,2017
Bio-Oil Love your marks,"22,620,709",34,12,Howto & Style,2019
"Lisa Simpson calls Donald Trump Presidency, Increased Debt","5,099,101","6,432",350,Comedy,2011
Accident in ski lift Gudauri Georgia,"1,070,767",694,184,People & Blogs,2018
atlantis waterslide lol,"1,421,652",475,38,Entertainment,2007
Lionel Messi VS Real Madrid The Fight,"1,851,681",705,"1,163",Sports,2009
HELLS ANGELS BEAT & STAB BANDIDOS BIKER GANG,"2,659,150",375,150,News & Politics,2007
Backyardigans,"1,232,789",216,120,Entertainment,2010
Court room beating,"3,569,473","2,312",131,People & Blogs,2006
BACILOS LA CARA DE LA LUNA,"2,142,731","2,971",89,Music,2008
The best gymnastics of the world 1,"1,998,858","1,783",292,Sports,2007
Cars: Mater-National ps3,"1,459,766",105,54,Entertainment,2008
"Hippo Charge on Chobe River Jan2015, recorded with iPhone 6; Botswana, Awesome but crazy dangerous.","9,735,098","14,563",773,People & Blogs,2015
Kid at Minecon 2016 asks what we all wish we could answer,"1,669,272","23,510",502,People & Blogs,2016
Bruce Lee VS japanese school,"22,075,523","25,688",0,Film & Animation,2007
How to surprise a horse,"1,625,194","7,357",352,Comedy,2016
Service station attempted robbery,"346,486",433,8,People & Blogs,2016
Best of Both Worlds,"14,813,633","11,336","1,289",Entertainment,2006
SHOCKING!! Tumor of 186 Pounds! - Man Pleads For Help.,"45,105,963","3,902","6,244",People & Blogs,2011
Нападение байкеров на машину! (с неожиданным концом!),"15,766,889","15,639","2,200",People & Blogs,2014
Color changing Lightning McQueen,"7,005,951",803,907,Gaming,2010
Funny baby girl faces,"13,524,975","10,164","1,532",People & Blogs,2007
When You play dodgeball with a Softball player. licensing@rumble.com,"2,134,991","12,128",299,Comedy,2017
Bird learns how life works,"4,916,042","74,420",703,Gaming,2015
экстремальный взлет в Бодайбо.mp4,"1,891,710","3,389",109,Autos & Vehicles,2012
HOW TO GET IT - HYPNOTIQ FT. LIL WAYNE (PRODUCED BY SOUNDMASTER T),"3,040,398","8,936",17,Music,2016
How to spend a sick day,"4,292,471","1,650",29,People & Blogs,2014
Ikan Besar Terdampar di pantai anakotao/Hulung Des,"8,191,516","1,978",357,People & Blogs,2017
внезапно,"962,437","2,280",257,People & Blogs,2017
Супер герои сервиса Nissan — Тайро,"1,921,703","2,947","1,776",People & Blogs,2017
Clumsy Dog,"3,432,791","24,140",254,Gaming,2017
Proposal In Disney World With A Surprise Ending,"3,379,064","3,034",149,Entertainment,2012
Управлять бизнесом удобно и просто! Пакет услуг “Легкий старт” от Сбербанк для малого бизнеса.,"8,162,969",29,7,Nonprofits & Activism,2018
Im sorry?,"3,670,491","30,180",171,People & Blogs,2017
porch hands,"788,325","1,899",82,Film & Animation,2016
"Fripozo | Alrededor de una mesa se comparten un montón de cosas…y sin ella, también.","2,067,244",38,26,Howto & Style,2018
Deep Eddy Vodka: Set the Stage,"4,000,769",2,0,Entertainment,2018
"ILLENIUM, Jon Bellion - Good Things Fall Apart (Lyric Video)","3,474,334","108,128","1,292",Music,2019
URBAN LIFESTYLE - Iconix Energy Youtube Commercial,"1,698,423",7,4,Sports,2019
A Breech In The System - trailer,"48,637,746","3,343","2,670",People & Blogs,2010
Woman harassed and hit by a man in the streets of Paris [Eng/Fr],"7,022,746","1,638",760,People & Blogs,2018
WII,"1,634,684","8,333",338,Entertainment,2006
MUSTANG DRAG CAR @ WSID=1,"1,428,328",427,247,Autos & Vehicles,2007
"faire grossir sa poitrine, ses seins how to make big tits boobs","2,271,592","2,923",215,Film & Animation,2011
Best Robot Dance Ever - Icmeler 2010,"2,576,129",950,"4,503",Entertainment,2010
Seleccion Argentina 2010 Waving Flag,"1,190,356","2,026",65,Sports,2009
Luciana Vendramini no Fórmula Única,"2,900,719",365,171,Entertainment,2006
Hövding krocktest,"2,394,252","1,734",87,Science & Technology,2010
SHARK ATTACK - Don't touch the glass !!,"2,058,082","7,435","1,067",People & Blogs,2014
The Most Loving Cat In The World,"3,411,990","4,751",74,People & Blogs,2015
Parks and Rec Come back joke,"2,482,309","20,964",224,Comedy,2012
AIELLO - ORA (Official Video - Sanremo 2021),"1,132,390","23,083",887,Music,2021
Mila Kunis Tells Off A Reporter In Fluent Russian,"3,324,459","23,701",834,Entertainment,2012
Cociná a leña con Bosca,"1,140,657",4,0,Entertainment,2019
Crayola lets kids go free to Sea Life,"1,041,896",7,3,Education,2019
Boomerang,"3,050,764","3,939",290,Comedy,2005
Prehistoric shark captured on film,"12,466,431","11,517",769,Pets & Animals,2007
Kale's nail biting video 1,"1,123,520",253,735,People & Blogs,2017
Beijing Airpocalypse Arrival,"1,237,586","1,923",438,People & Blogs,2017
I can feel it down in my plums....,"1,576,942","4,498",153,Comedy,2009
Dance Precisions   Scream   Shout,"1,731,322",963,206,Music,2014
Жизнь пластиковой бутылки,"2,061,290","2,432",387,People & Blogs,2017
Man shot on camera by the police - Police brutality,"17,056,400","8,834","4,604",Entertainment,2011
Elephant lucky from the jaws of crocodile,"2,730,336","1,187",169,People & Blogs,2017
Mr Bean imitator 3 voor amusement - boekt u bij www.jbproductions.nl,"8,411,133","1,194","1,216",Entertainment,2007
Flying nut high five,"7,852,043","62,744",748,People & Blogs,2014
Ae Dil Hai Mushkil Cover Unwind -- Tabitha Chettupally,"5,081,915","5,011",118,People & Blogs,2017
YouTube配信広告「社員登場編」,"4,592,080",58,31,Autos & Vehicles,2015
Carlsberg stunts with bikers in cinema,"22,426,928","50,810",806,Entertainment,2011
Panchlait - Teaser 2 | Prem Modi | Funtime Entertainment,"885,706","5,835",217,Film & Animation,2017
tommy wiseau can't understand millennials,"3,320,857","28,326",198,Comedy,2017
Maximus by Kerbedanz - the biggest known tourbillon for wristwatch,"1,263,651","10,376",126,People & Blogs,2017
kitchen makeover fail,"3,975,191","1,514","2,231",People & Blogs,2012
FIA WEC 2018 Spa Francorchamps Crash #17 BR Engineering BR1-AER Eau Rouge,"1,586,550","1,739",75,Gaming,2018
Explosion galaxy note7 in the burger king korea,"3,957,239","4,330","2,350",People & Blogs,2016
Carlos Alberto 1970 wondergoal,"1,512,563","1,552",118,Sports,2006
Marea que se joda el viento,"1,574,564","1,540",66,Music,2006
GTA San Andreas Car Mods,"1,407,396",975,134,Entertainment,2007
The Red Solstice 2:Survivors - Price of failure,"7,812,856",197,10,Gaming,2019
"Just Eat - Mød LêLê, Grillen Burgerbar, Kebabish & Perbacco","9,619,541",8,16,Entertainment,2018
Subaru Get More G's Ad 1,"9,149,607","4,290",515,Autos & Vehicles,2010
DBGT ssj4 Gogeta vs Omega Shenron,"1,135,406",605,55,Film & Animation,2008
VTEC SOUND,"1,439,814","2,379",110,Autos & Vehicles,2006
Comedian Hits on Hecklers Girlfriend,"5,260,834","6,870","1,032",Comedy,2007
Primer Caño a Ronaldinho,"1,736,901","1,861",306,Sports,2007
"Ronaldinho,C.Ronaldo,Kaka","4,970,841","3,199",257,Sports,2010
REAL LIFE TRANSFORMER,"1,818,326","1,989",284,People & Blogs,2007
FloRida - Right Round (VinylRockerz Remix),"3,334,348","3,889",471,Music,2009
Disney songs (2),"2,141,164","1,164",74,Film & Animation,2007
Alicia Keys How to Save A Life (the Fray Cover) Radio One Live Lounge,"974,519","1,532",803,Music,2009
"Margot loves Brown Bear, Brown Bear. Baby laughing","3,320,366","1,239",28,People & Blogs,2014
Strange creature freaks out plantation workers in Sarawak,"9,700,006","2,478","2,027",News & Politics,2015
Polar bear petting dog,"8,058,364","24,707","1,821",Entertainment,2016
Light Rain,"3,488,820","2,995",60,Entertainment,2009
JD Pantoja - 12•19 (Trailer),"2,144,710","317,352","8,155",Music,2020
Funny commercials-21,"3,285,284",702,0,Comedy,2010
RickRoll'D,"78,178,105","318,037","44,953",Music,2007
My dad flew into town to surprise his parents.,"888,893","8,190",113,People & Blogs,2016
Fat Bike caught on an Electric Fence!,"3,580,228","13,803",406,People & Blogs,2017
Girl falls off stage while getting proposed to at dallas music festival ORIGINAL (part 1),"322,489",887,239,People & Blogs,2017
Cantona VS Supporter,"3,694,102","5,186",465,Sports,2011
パンツだけなのは正常です,"5,498,422",561,234,Howto & Style,2008
婚前試愛 2010年12月23日 電影廣告,"48,695,613","2,444","2,753",Film & Animation,2010
Toys.ee - BABY born® nukk,"18,423,437","2,431","1,853",Entertainment,2008
"Rihanna ""Cry""","32,695,896","47,735","1,456",Music,2007
Funny Football,"37,544,668","37,127","2,904",Comedy,2006
Ministry of Silly Walks,"9,558,072","39,783","1,251",Comedy,2006
burp helium (so funny),"12,552,948","81,470","2,073",People & Blogs,2014
the fast and the furious music,"4,043,321","1,617",581,Music,2009
Driving on Water,"1,208,750",392,15,Autos & Vehicles,2007
Kelly Clarkson - Stronger (lyrics + deutsche Übersetzung),"2,264,728","4,545",126,Music,2012
John Cena - My Time Is Now,"38,332,239","52,593","5,494",Music,2007
Ken Lee or Without you by Mariah Carey (ENGLISH SUBTITLES),"18,308,842","28,127","1,491",Entertainment,2008
BallsCrash,"280,745,872","64,224","21,652",Comedy,2009
Sister Act 2 - Oh Happy Day,"37,730,464","87,538","1,589",Music,2006
Of Monsters And Men - Love Love Love,"3,474,904","16,311",170,Music,2010
Red Suit || Official HD Video || Latest Punjabi Songs || RK Ramme,"1,080,296","2,237",61,Music,2017
"Балаклея, Харьков, момент детонации","1,941,205","4,907",197,People & Blogs,2017
Opening a 9-year old Easter egg,"2,807,049","3,455","1,006",People & Blogs,2017
Knight and Day - Trailer 3,"1,530,779","1,098",66,Entertainment,2010
Loch Ness Monster Sighting 7th May 2017 About 9am,"1,894,110",447,985,Travel & Events,2017
ITS ALL IN THERE REMIX,"2,081,718","3,024",52,Music,2017
David Nalbandian angrily kicks Linesman in Queens Final [17/6/12] - BBC One (ORIGINAL VIDEO),"4,758,192","2,286",991,Entertainment,2012
I was in a wedding and smashed my face,"1,596,447","6,001",176,People & Blogs,2017
Fox News idiocy.,"1,227,176","5,383",457,News & Politics,2017
Bike Race Free - Racing Game - Lots of NEW CONTENT,"26,882,229","3,145","1,435",Gaming,2016
9-30-2017 Marilyn Manson Hammerstein Ballroom prop/stage collapse,"1,315,977",799,221,People & Blogs,2017
"This is a dollar, not a card","1,144,211","6,389",132,People & Blogs,2017
Fedez - Prima di ogni cosa (Official Video),"4,833,788","202,477","7,131",Music,2018
Meet Will,"3,121,597","40,432",313,Comedy,2018
Accidente en lineas  de alta tension,"809,389",161,30,Education,2008
Insano - The biggest waterslide of the world - Brazil - Ceará - Fortaleza,"2,429,774",743,218,Comedy,2009
Air Crashes & Accidents,"4,668,120",562,"1,486",Autos & Vehicles,2009
Dashcam BMW crash,"5,666,551","14,735","1,208",People & Blogs,2016
Lamborghini Reventon vs. Tornado,"9,550,473","8,190",873,Autos & Vehicles,2008
Carnival Magic Cruise ship nearly runs over jet skiers,"1,701,340","2,062",328,Nonprofits & Activism,2017
Audi RS6 5.0 V10 TFSI Beschleunigung 0-351km/h www.kubatech.de,"4,546,880","2,408",272,Autos & Vehicles,2009
Subway® | Richtig lecker. Richtig günstig. | TV Spot,"10,537,317",33,17,Entertainment,2020
8 Rules of Fight Club Trailer,"1,352,408","2,752",97,Entertainment,2006
The Muppets Electrical Nose Warmer,"944,461","1,267",41,Comedy,2007
Kid singing Britney Spears scared to death by his mom,"11,940,134","39,480","2,324",Comedy,2007
Waving Flag - Cancion del Mundial Sudafrica 2010 - K'naan y David Bisbal.flv,"1,694,185","2,000",46,Sports,2010
Kingdom Hearts: Birth By Sleep (PSP) trailer [High Quality],"4,245,757","14,725",346,Entertainment,2007
King Kuduro - Il faut danser,"4,816,624","3,361",181,Music,2009
GTA San Andreas Tuning Mod,"1,532,108",647,91,Gaming,2009
魚を生かしていたら、まさかの惨事！！,"2,306,190",106,300,Sports,2009
pool trickshots in the news,"1,216,090",694,84,Sports,2007
UFO-Doctor Doctor,"1,142,679","4,305",55,Music,2008
Bull Moose Charges Truck,"3,775,980","5,080","6,017",Pets & Animals,2009
Vai ser Burra assim la longe,"3,458,731","1,897",381,Comedy,2008
My Diablo 3 Inferno Tactic,"2,362,860","22,368",787,Gaming,2012
Selena Gomez Come And Get It Live Performance SINGING LIKE AN ANGEL !,"5,943,702","7,132","2,859",Music,2009
Simona Halep Q Match1_2 Paris Indoors 2009,"5,529,798","2,561",132,Sports,2009
singing hippopotamus,"6,380,182","3,440",399,Comedy,2005
"Marcela Gandara ""Antes de Ti""","1,803,120",572,41,Music,2006
Derrick Barry (Britney Spears) - America's Got Talent,"5,370,442","12,906",757,Entertainment,2008
10/21 苗栗中正盃－萬能科大球員攻擊中央大學球員,"635,395",137,763,People & Blogs,2016
Cleveland and Chicago Unite to Defeat Trump - TrumpTraders.org,"1,155,708",21,62,News & Politics,2016
2016 MAMA 王大陸 大平台,"1,735,464","2,708","4,760",People & Blogs,2016
Rabbit Vs Snake.  Momma Rabbit save babies - Original Video,"24,914,138","21,753","1,239",Pets & Animals,2015
Yakult One And Only - English,"34,686,085",391,179,Travel & Events,2017
Heaven - DJ Sammy Remix,"11,370,933","21,100",0,Music,2006
Unlikely couple: Liaison between a Sika deer and a Japanese snow monkey,"3,126,743","1,009",474,Pets & Animals,2017
Jeopardy: What is a threesome?,"2,838,751","7,651",126,Comedy,2011
"Spinal Tap - ""These go to eleven....""","1,880,022","10,651",160,Comedy,2011
"Assault on Most Reverend Manuel A. Cruz, Auxiliary Bishop of the Archdiocese of Newark","1,301,276","1,317",530,Film & Animation,2017
Älg i vak,"2,104,408","8,941",147,Pets & Animals,2017
LA CINTURA MAS DELGADA DEL MUNDO,"54,003,557","15,233","10,100",Entertainment,2007
David Hasselhoff - Hooked on a Feeling,"13,848,813","42,810","4,411",Music,2006
Wooden spoon trick - Sleifaratriðið,"5,644,916","10,964",416,Entertainment,2010
QURAN,"437,840",30,218,People & Blogs,2017
"Familiada - Imię męskie na literę O. (Oliwier, Oliwia)","969,271","4,668",204,People & Blogs,2017
Ryan Gosling - Epic Old Dancing Videos 1992,"1,694,235","6,734",210,People & Blogs,2015
Ronaldinho truco increíble 2011,"21,752,141","7,507","1,779",Sports,2011
Ovechkin fight vs Columbus,"908,626","4,112",376,Entertainment,2017
Spider-man - Double Track - Fan Film [2007],"30,976,762","9,263","4,457",Film & Animation,2007
Mr.President- Coco jumbo,"8,029,186","13,431",522,People & Blogs,2007
Metallica-Fade To Black,"35,496,234","88,736","2,442",Music,2006
Phun Car,"7,045,249","1,006","1,151",Science & Technology,2009
Super platano brothers,"1,595,388","14,720",344,Comedy,2017
Red Dawn Trailer,"3,964,762","1,323",222,Entertainment,2012
My Name Is - Eminem (Backwards Message),"3,541,035","5,004",575,Music,2006
津波　TSUNAMI - Earthquake (3/11)　20110411,"6,683,001","2,295",345,Comedy,2011
Teijin Aramid | Be sure with aramids in automotive,"2,783,994",3,0,Science & Technology,2020
